conversation_id,patient_message,doctor_response,intent,sentiment,summary,key_points
1,I've been waiting 45 minutes past my scheduled appointment time.,The administrative team will conduct a thorough investigation into the reported procedural deviation.,complaint,formal,Patient reported dissatisfaction or issues. Communication was professional and technical.,"waiting, minutes, scheduled, appointment, time."
2,What COVID safety measures are you currently following?,We accept most major insurance plans. May I have your member ID to verify?,general_questions,neutral,Patient asked general information about services. Communication was matter-of-fact.,"COVID, safety, measures, currently, following?"
3,The antidepressant dosage doesn't seem effective anymore - can we adjust?,"Hey, thanks for the heads-up about running low! I'll get that sent over to your pharmacy today.",ask_prescription,friendly,Patient asked for medication renewal or advice. Communication was warm and personable.,"antidepressant, dosage, doesn't, effective, anymore"
4,Your online portal isn't working and I can't access my medical records.,This level of service is completely unacceptable. I share your frustration entirely.,complaint,negative,Patient reported dissatisfaction or issues. Communication expressed concerns or dissatisfaction.,"online, portal, isn't, working, can't"
5,I'd like to make a same-day urgent appointment if possible.,I can help with that. Would you prefer an early morning or late afternoon appointment?,request_appointment,neutral,Patient requested a future consultation. Communication was matter-of-fact.,"same-day, urgent, appointment, possible."
6,It's been 2 weeks since my surgery - when should I come for a wound check?,These test results raise some concerns for me. Let's take a closer look at what's happening.,follow_up,concerned,Patient followed up regarding previous consultation. Communication expressed worry or caution.,"weeks, since, surgery, should, wound"
7,Can I book a follow-up with Dr. Smith for my post-op check?,Great news! We have several convenient openings that should work perfectly for your schedule.,request_appointment,positive,Patient requested a future consultation. Communication had an optimistic tone.,"follow-up, Smith, post-op, check?"
8,I've had a persistent headache for three days now with blurred vision.,"I hear you're really going through a tough time with these symptoms. Let's figure this out together, okay?",discuss_symptoms,friendly,Patient described current health symptoms. Communication was warm and personable.,"persistent, headache, three, blurred, vision."
9,I'd like to make a same-day urgent appointment if possible.,I regret to inform you that Dr. Smith's schedule is completely full for the next month.,request_appointment,negative,Patient requested a future consultation. Communication expressed concerns or dissatisfaction.,"same-day, urgent, appointment, possible."
10,Could I get an appointment with the cardiology department?,The scheduling protocol allows for a consultation on the requested date pending insurance verification.,request_appointment,formal,Patient requested a future consultation. Communication was professional and technical.,"Could, appointment, cardiology, department?"
