conversation_id,patient_message,doctor_response,intent,sentiment,summary,key_points
1,I'm traveling abroad and need a 3-month supply of my blood thinners.,I can certainly renew that. Has your current dosage been effective for you?,ask_prescription,neutral,Patient asked for medication renewal or advice. Communication was matter-of-fact.,"traveling, abroad, 3-month, supply, blood"
2,What's your policy on late cancellations?,I regret to inform you that we no longer accept that insurance plan as of last month.,general_questions,negative,Patient asked general information about services. Communication expressed concerns or dissatisfaction.,"What's, policy, cancellations?"
3,Can I book a follow-up with Dr. Smith for my post-op check?,I'm putting you down for our emergency slot at 3pm today. Please arrive 15 minutes early.,request_appointment,urgent,Patient requested a future consultation. Communication emphasized immediate action needed.,"follow-up, Smith, post-op, check?"
4,Your online portal isn't working and I can't access my medical records.,The administrative team will conduct a thorough investigation into the reported procedural deviation.,complaint,formal,Patient reported dissatisfaction or issues. Communication was professional and technical.,"online, portal, isn't, working, can't"
5,Your online portal isn't working and I can't access my medical records.,The administrative team will conduct a thorough investigation into the reported procedural deviation.,complaint,formal,Patient reported dissatisfaction or issues. Communication was professional and technical.,"online, portal, isn't, working, can't"
6,I have severe diarrhea and vomiting since last night - can't keep anything down.,Thank you for providing such clear details about your symptoms. This gives us a promising starting point for treatment.,discuss_symptoms,positive,Patient described current health symptoms. Communication had an optimistic tone.,"severe, diarrhea, vomiting, since, night"
7,What's your policy on late cancellations?,We accept most major insurance plans. May I have your member ID to verify?,general_questions,neutral,Patient asked general information about services. Communication was matter-of-fact.,"What's, policy, cancellations?"
8,The biopsy results came back - can we discuss them at my next visit?,I'm sorry the treatment hasn't provided the relief we expected. Let's try a different approach.,follow_up,apologetic,Patient followed up regarding previous consultation. Communication included regret or apologies.,"biopsy, results, discuss, visit?"
9,The doctor didn't explain my diagnosis clearly - I have many unanswered questions.,Your experience worries me greatly. No patient should face these kinds of issues.,complaint,concerned,Patient reported dissatisfaction or issues. Communication expressed worry or caution.,"doctor, didn't, explain, diagnosis, clearly"
10,There's a strange numbness in my left arm that won't go away.,"You know, I had another patient with similar issues last week - don't worry, we'll get to the bottom of this!",discuss_symptoms,friendly,Patient described current health symptoms. Communication was warm and personable.,"There's, strange, numbness, won't, away."
11,I'm traveling abroad and need a 3-month supply of my blood thinners.,"Unfortunately, I cannot authorize this refill until we address these concerning lab results.",ask_prescription,negative,Patient asked for medication renewal or advice. Communication expressed concerns or dissatisfaction.,"traveling, abroad, 3-month, supply, blood"
12,Can I book a follow-up with Dr. Smith for my post-op check?,Great news! We have several convenient openings that should work perfectly for your schedule.,request_appointment,positive,Patient requested a future consultation. Communication had an optimistic tone.,"follow-up, Smith, post-op, check?"
13,My blood sugar levels have stabilized - do I still need the same dosage?,The post-procedure assessment indicates satisfactory healing with no contraindications for resuming normal activity.,follow_up,formal,Patient followed up regarding previous consultation. Communication was professional and technical.,"blood, sugar, levels, stabilized, still"
14,I'm experiencing shortness of breath even with minimal activity.,"I understand your concern and I'm glad you came in. Based on what you're describing, we have several good treatment options.",discuss_symptoms,positive,Patient described current health symptoms. Communication had an optimistic tone.,"experiencing, shortness, breath, minimal, activity."
15,I completed the treatment but still feel fatigued - what next?,These test results raise some concerns for me. Let's take a closer look at what's happening.,follow_up,concerned,Patient followed up regarding previous consultation. Communication expressed worry or caution.,"completed, treatment, still, fatigued, next?"
16,Which hospital are you affiliated with for emergencies?,Insurance verification protocols require submission of credentials 48 hours prior to scheduled appointments.,general_questions,formal,Patient asked general information about services. Communication was professional and technical.,"Which, hospital, affiliated, emergencies?"
17,What are your clinic hours on holidays?,"Our regular hours are 8am-6pm weekdays, with urgent care until 8pm.",general_questions,neutral,Patient asked general information about services. Communication was matter-of-fact.,"clinic, hours, holidays?"
18,I completed the treatment but still feel fatigued - what next?,I'm not satisfied with your progress. These symptoms indicate the treatment isn't working.,follow_up,negative,Patient followed up regarding previous consultation. Communication expressed concerns or dissatisfaction.,"completed, treatment, still, fatigued, next?"
19,Do I need a new prescription for my ongoing thyroid medication?,"These symptoms concern me - before renewing, I'd like to check if this medication is still right for you.",ask_prescription,concerned,Patient asked for medication renewal or advice. Communication expressed worry or caution.,"prescription, ongoing, thyroid, medication?"
20,Are there any weekend slots available for a general consultation?,I can help with that. Would you prefer an early morning or late afternoon appointment?,request_appointment,neutral,Patient requested a future consultation. Communication was matter-of-fact.,"there, weekend, slots, available, general"
21,Do you accept my new insurance plan?,We accept most major insurance plans. May I have your member ID to verify?,general_questions,neutral,Patient asked general information about services. Communication was matter-of-fact.,"accept, insurance, plan?"
22,Do you provide interpreter services for non-English speakers?,"You know what, parking is actually free on weekends - a little bonus for our Saturday patients!",general_questions,friendly,Patient asked general information about services. Communication was warm and personable.,"provide, interpreter, services, non-English, speakers?"
23,I completed the treatment but still feel fatigued - what next?,I'm not satisfied with your progress. These symptoms indicate the treatment isn't working.,follow_up,negative,Patient followed up regarding previous consultation. Communication expressed concerns or dissatisfaction.,"completed, treatment, still, fatigued, next?"
24,I've been waiting 45 minutes past my scheduled appointment time.,This requires immediate attention. I'm escalating this to our director right now.,complaint,urgent,Patient reported dissatisfaction or issues. Communication emphasized immediate action needed.,"waiting, minutes, scheduled, appointment, time."
25,I've had a persistent headache for three days now with blurred vision.,"Given what you've described, we need to run tests immediately. This requires urgent attention.",discuss_symptoms,urgent,Patient described current health symptoms. Communication emphasized immediate action needed.,"persistent, headache, three, blurred, vision."
26,Do you accept my new insurance plan?,"You know what, parking is actually free on weekends - a little bonus for our Saturday patients!",general_questions,friendly,Patient asked general information about services. Communication was warm and personable.,"accept, insurance, plan?"
27,I completed the treatment but still feel fatigued - what next?,I'm very encouraged by your progress! The treatment is working exactly as we hoped.,follow_up,positive,Patient followed up regarding previous consultation. Communication had an optimistic tone.,"completed, treatment, still, fatigued, next?"
28,I've been tracking my blood pressure as instructed - should I continue the meds?,I'm sorry the treatment hasn't provided the relief we expected. Let's try a different approach.,follow_up,apologetic,Patient followed up regarding previous consultation. Communication included regret or apologies.,"tracking, blood, pressure, instructed, should"
29,I have severe diarrhea and vomiting since last night - can't keep anything down.,I understand this must be worrying. How long exactly have you been experiencing these symptoms?,discuss_symptoms,neutral,Patient described current health symptoms. Communication was matter-of-fact.,"severe, diarrhea, vomiting, since, night"
30,How do I get a copy of my medical records transferred to another provider?,"Our regular hours are 8am-6pm weekdays, with urgent care until 8pm.",general_questions,neutral,Patient asked general information about services. Communication was matter-of-fact.,"medical, records, transferred, another, provider?"
31,Do you accept my new insurance plan?,I'm concerned about your insurance coverage. Let me check some details to make sure you're fully covered.,general_questions,concerned,Patient asked general information about services. Communication expressed worry or caution.,"accept, insurance, plan?"
32,I'd like to make a same-day urgent appointment if possible.,"Upon reviewing the physician's calendar, there is availability on Thursday at 2:15pm or Friday at 10:30am.",request_appointment,formal,Patient requested a future consultation. Communication was professional and technical.,"same-day, urgent, appointment, possible."
33,I completed the treatment but still feel fatigued - what next?,These test results raise some concerns for me. Let's take a closer look at what's happening.,follow_up,concerned,Patient followed up regarding previous consultation. Communication expressed worry or caution.,"completed, treatment, still, fatigued, next?"
34,I'd like to make a same-day urgent appointment if possible.,"Given your situation, I'll rearrange the schedule to fit you in today. This can't wait.",request_appointment,urgent,Patient requested a future consultation. Communication emphasized immediate action needed.,"same-day, urgent, appointment, possible."
35,I noticed blood in my urine this morning with some burning sensation.,"According to clinical guidelines, these symptoms necessitate a comprehensive examination and possibly diagnostic imaging.",discuss_symptoms,formal,Patient described current health symptoms. Communication was professional and technical.,"noticed, blood, urine, morning, burning"
36,I need to schedule a physical exam before my overseas trip next month.,I'm so sorry about the wait times lately. Let me do my best to find something that works for you.,request_appointment,apologetic,Patient requested a future consultation. Communication included regret or apologies.,"schedule, physical, before, overseas, month."
37,Do I need a new prescription for my ongoing thyroid medication?,"Unfortunately, I cannot authorize this refill until we address these concerning lab results.",ask_prescription,negative,Patient asked for medication renewal or advice. Communication expressed concerns or dissatisfaction.,"prescription, ongoing, thyroid, medication?"
38,What COVID safety measures are you currently following?,I'm concerned about your insurance coverage. Let me check some details to make sure you're fully covered.,general_questions,concerned,Patient asked general information about services. Communication expressed worry or caution.,"COVID, safety, measures, currently, following?"
39,I've been waiting 45 minutes past my scheduled appointment time.,This is a serious failure on our part. I'm deeply troubled by what you've experienced.,complaint,negative,Patient reported dissatisfaction or issues. Communication expressed concerns or dissatisfaction.,"waiting, minutes, scheduled, appointment, time."
40,Can you prescribe something stronger for my chronic back pain?,"Great news! Your lab results look excellent, so I'm happy to continue your current medication.",ask_prescription,positive,Patient asked for medication renewal or advice. Communication had an optimistic tone.,"prescribe, something, stronger, chronic, pain?"
41,How do I get a copy of my medical records transferred to another provider?,I regret to inform you that we no longer accept that insurance plan as of last month.,general_questions,negative,Patient asked general information about services. Communication expressed concerns or dissatisfaction.,"medical, records, transferred, another, provider?"
42,My pharmacy says they need prior authorization for my new cholesterol meds.,This is critical - I'm sending an emergency prescription to your pharmacy to be ready within the hour.,ask_prescription,urgent,Patient asked for medication renewal or advice. Communication emphasized immediate action needed.,"pharmacy, prior, authorization, cholesterol, meds."
43,My blood sugar levels have stabilized - do I still need the same dosage?,I apologize that you're still experiencing these symptoms. We should have addressed this differently.,follow_up,apologetic,Patient followed up regarding previous consultation. Communication included regret or apologies.,"blood, sugar, levels, stabilized, still"
44,I'm experiencing shortness of breath even with minimal activity.,"Given what you've described, we need to run tests immediately. This requires urgent attention.",discuss_symptoms,urgent,Patient described current health symptoms. Communication emphasized immediate action needed.,"experiencing, shortness, breath, minimal, activity."
45,I have severe diarrhea and vomiting since last night - can't keep anything down.,I'm genuinely concerned about what you're experiencing. Let's take these symptoms very seriously.,discuss_symptoms,concerned,Patient described current health symptoms. Communication expressed worry or caution.,"severe, diarrhea, vomiting, since, night"
46,Are there any weekend slots available for a general consultation?,"Upon reviewing the physician's calendar, there is availability on Thursday at 2:15pm or Friday at 10:30am.",request_appointment,formal,Patient requested a future consultation. Communication was professional and technical.,"there, weekend, slots, available, general"
47,My blood sugar levels have stabilized - do I still need the same dosage?,I'm very encouraged by your progress! The treatment is working exactly as we hoped.,follow_up,positive,Patient followed up regarding previous consultation. Communication had an optimistic tone.,"blood, sugar, levels, stabilized, still"
48,My insulin prescription is running low - can you send a refill to CVS?,I'm sorry you've been experiencing these medication issues. That must be frustrating.,ask_prescription,apologetic,Patient asked for medication renewal or advice. Communication included regret or apologies.,"insulin, prescription, running, refill"
49,I'd prefer a telehealth visit if available - when's the next opening?,"Upon reviewing the physician's calendar, there is availability on Thursday at 2:15pm or Friday at 10:30am.",request_appointment,formal,Patient requested a future consultation. Communication was professional and technical.,"prefer, telehealth, visit, available, when's"
50,Are there any weekend slots available for a general consultation?,I regret to inform you that Dr. Smith's schedule is completely full for the next month.,request_appointment,negative,Patient requested a future consultation. Communication expressed concerns or dissatisfaction.,"there, weekend, slots, available, general"
51,I noticed blood in my urine this morning with some burning sensation.,I'm sorry you've been dealing with this discomfort. We should have caught this during your last visit.,discuss_symptoms,apologetic,Patient described current health symptoms. Communication included regret or apologies.,"noticed, blood, urine, morning, burning"
52,The antidepressant dosage doesn't seem effective anymore - can we adjust?,"Given your situation, I'm authorizing an immediate refill that you can pick up today.",ask_prescription,urgent,Patient asked for medication renewal or advice. Communication emphasized immediate action needed.,"antidepressant, dosage, doesn't, effective, anymore"
53,Could I get an appointment with the cardiology department?,I apologize for the scheduling difficulties. We're working to improve our availability.,request_appointment,apologetic,Patient requested a future consultation. Communication included regret or apologies.,"Could, appointment, cardiology, department?"
54,I have severe diarrhea and vomiting since last night - can't keep anything down.,I'm genuinely concerned about what you're experiencing. Let's take these symptoms very seriously.,discuss_symptoms,concerned,Patient described current health symptoms. Communication expressed worry or caution.,"severe, diarrhea, vomiting, since, night"
55,My test results were supposed to be ready yesterday but still aren't available.,Your grievance has been documented and will be addressed according to our patient resolution protocol.,complaint,formal,Patient reported dissatisfaction or issues. Communication was professional and technical.,"results, supposed, ready, yesterday, still"
56,How do I get a copy of my medical records transferred to another provider?,I apologize that our holiday schedule is so limited. I know it can make things difficult.,general_questions,apologetic,Patient asked general information about services. Communication included regret or apologies.,"medical, records, transferred, another, provider?"
57,What COVID safety measures are you currently following?,I'm happy to confirm that we accept your insurance with excellent coverage options.,general_questions,positive,Patient asked general information about services. Communication had an optimistic tone.,"COVID, safety, measures, currently, following?"
58,The physical therapy exercises caused more pain - is this normal?,I'm actually quite worried about these lingering symptoms. They shouldn't still be present.,follow_up,concerned,Patient followed up regarding previous consultation. Communication expressed worry or caution.,"physical, therapy, exercises, caused, normal?"
59,Which hospital are you affiliated with for emergencies?,I regret to inform you that we no longer accept that insurance plan as of last month.,general_questions,negative,Patient asked general information about services. Communication expressed concerns or dissatisfaction.,"Which, hospital, affiliated, emergencies?"
60,My pharmacy says they need prior authorization for my new cholesterol meds.,I'm concerned about renewing this medication without seeing you first. These side effects are troubling.,ask_prescription,negative,Patient asked for medication renewal or advice. Communication expressed concerns or dissatisfaction.,"pharmacy, prior, authorization, cholesterol, meds."
61,I lost my prescription slip for the antibiotics - can you reissue?,I'm pleased to renew this prescription for you. The treatment seems to be working very well.,ask_prescription,positive,Patient asked for medication renewal or advice. Communication had an optimistic tone.,"prescription, antibiotics, reissue?"
62,I completed the treatment but still feel fatigued - what next?,These follow-up symptoms require urgent attention. Can you come to the office today?,follow_up,urgent,Patient followed up regarding previous consultation. Communication emphasized immediate action needed.,"completed, treatment, still, fatigued, next?"
63,My insulin prescription is running low - can you send a refill to CVS?,No problem at all with that refill! I'll take care of it right away so you don't have to worry.,ask_prescription,friendly,Patient asked for medication renewal or advice. Communication was warm and personable.,"insulin, prescription, running, refill"
64,Do I need a new prescription for my ongoing thyroid medication?,I apologize for the confusion with your prescription. Let me fix this right away.,ask_prescription,apologetic,Patient asked for medication renewal or advice. Communication included regret or apologies.,"prescription, ongoing, thyroid, medication?"
65,Can I book a follow-up with Dr. Smith for my post-op check?,"Hey, no problem at all! I can totally squeeze you in this Friday - how does that sound?",request_appointment,friendly,Patient requested a future consultation. Communication was warm and personable.,"follow-up, Smith, post-op, check?"
66,My insulin prescription is running low - can you send a refill to CVS?,No problem at all with that refill! I'll take care of it right away so you don't have to worry.,ask_prescription,friendly,Patient asked for medication renewal or advice. Communication was warm and personable.,"insulin, prescription, running, refill"
67,Are there any weekend slots available for a general consultation?,"Hey, no problem at all! I can totally squeeze you in this Friday - how does that sound?",request_appointment,friendly,Patient requested a future consultation. Communication was warm and personable.,"there, weekend, slots, available, general"
68,What's your policy on late cancellations?,This information is critical - our emergency services remain open 24/7 including all holidays.,general_questions,urgent,Patient asked general information about services. Communication emphasized immediate action needed.,"What's, policy, cancellations?"
69,My child needs a sports physical - do you have pediatric appointments tomorrow?,Let me check our availability. Are you looking for something this week or next?,request_appointment,neutral,Patient requested a future consultation. Communication was matter-of-fact.,"child, needs, sports, physical, pediatric"
70,The physical therapy exercises caused more pain - is this normal?,Glad you're following up. How have your symptoms progressed since we last spoke?,follow_up,neutral,Patient followed up regarding previous consultation. Communication was matter-of-fact.,"physical, therapy, exercises, caused, normal?"
71,Do you provide interpreter services for non-English speakers?,"You know what, parking is actually free on weekends - a little bonus for our Saturday patients!",general_questions,friendly,Patient asked general information about services. Communication was warm and personable.,"provide, interpreter, services, non-English, speakers?"
72,The nurse didn't return my urgent call about medication side effects.,Thank you so much for this feedback. It's patients like you who help us improve our services.,complaint,positive,Patient reported dissatisfaction or issues. Communication had an optimistic tone.,"nurse, didn't, return, urgent, about"
73,My child needs a sports physical - do you have pediatric appointments tomorrow?,I'm so sorry about the wait times lately. Let me do my best to find something that works for you.,request_appointment,apologetic,Patient requested a future consultation. Communication included regret or apologies.,"child, needs, sports, physical, pediatric"
74,My test results were supposed to be ready yesterday but still aren't available.,I understand your concern. Let me look into this matter for you.,complaint,neutral,Patient reported dissatisfaction or issues. Communication was matter-of-fact.,"results, supposed, ready, yesterday, still"
75,Do I need a new prescription for my ongoing thyroid medication?,I apologize for the confusion with your prescription. Let me fix this right away.,ask_prescription,apologetic,Patient asked for medication renewal or advice. Communication included regret or apologies.,"prescription, ongoing, thyroid, medication?"
